,state,month_number,new_cases
1265,MT,36,4031
1266,MT,37,2698
1267,MT,38,2915
1268,MT,39,3240
1269,MT,40,1601
1270,MT,41,451
1271,NC,1,0
1272,NC,2,0
1273,NC,3,661
1274,NC,4,10044
1275,NC,5,14877
1276,NC,6,31953
1277,NC,7,63296
1278,NC,8,43183
1279,NC,9,48614
1280,NC,10,56137
1281,NC,11,84203
1282,NC,12,194854
1283,NC,13,196939
1284,NC,14,103053
1285,NC,15,59513
1286,NC,16,49959
1287,NC,17,31174
1288,NC,18,14935
1289,NC,19,35729
1290,NC,20,141750
1291,NC,21,214108
1292,NC,22,73899
1293,NC,23,49482
1294,NC,24,155857
1295,NC,25,726794
1296,NC,26,204436
1297,NC,27,28558
1298,NC,28,30516
1299,NC,29,90467
1300,NC,30,112228
1301,NC,31,115912
1302,NC,32,137691
1303,NC,33,78045
1304,NC,34,38573
1305,NC,35,37903
1306,NC,36,41471
1307,NC,37,95728
1308,NC,38,47053
1309,NC,39,26056
1310,NC,40,11179
1311,NC,41,4574
1312,ND,1,0
1313,ND,2,0
1314,ND,3,45
1315,ND,4,988
1316,ND,5,1405
1317,ND,6,923
1318,ND,7,2865
1319,ND,8,4236
1320,ND,9,11385
1321,ND,10,18063
1322,ND,11,35570
1323,ND,12,17012
1324,ND,13,4655
1325,ND,14,2380
1326,ND,15,3566
1327,ND,16,4060
1328,ND,17,2625
1329,ND,18,925
1330,ND,19,706
1331,ND,20,4257
1332,ND,21,15734
1333,ND,22,14987
1334,ND,23,13457
1335,ND,24,12763
1336,ND,25,44203
1337,ND,26,20492
1338,ND,27,2365
1339,ND,28,1043
1340,ND,29,2630
1341,ND,30,5621
1342,ND,31,6514
1343,ND,32,8443
1344,ND,33,4389
1345,ND,34,3605
1346,ND,35,4360
1347,ND,36,3771
1348,ND,37,2127
1349,ND,38,3210
1350,ND,39,3223
1351,ND,40,1886
1352,ND,41,604
1353,NE,1,0
1354,NE,2,0
1355,NE,3,74
1356,NE,4,3722
1357,NE,5,8719
1358,NE,6,5084
1359,NE,7,7056
1360,NE,8,7088
1361,NE,9,12293
1362,NE,10,21190
1363,NE,11,52669
1364,NE,12,44749
1365,NE,13,23837
1366,NE,14,11048
1367,NE,15,10400
1368,NE,16,8680
1369,NE,17,3385
1370,NE,18,1321
1371,NE,19,3401
1372,NE,20,12329
1373,NE,21,25414
1374,NE,22,17032
1375,NE,23,24105
1376,NE,24,32466
1377,NE,25,103791
1378,NE,26,25798
1379,NE,27,3624
1380,NE,28,2297
1381,NE,29,6137
1382,NE,30,14072
1383,NE,31,15181
1384,NE,32,15217
1385,NE,33,6781
1386,NE,34,4643
1387,NE,35,9528
1388,NE,36,11963
1389,NE,37,4610
1390,NE,38,4641
1391,NE,39,7257
1392,NE,40,2777
1393,NE,41,755
1394,NH,1,0
1395,NH,2,0
1396,NH,3,108
1397,NH,4,1950
1398,NH,5,2228
1399,NH,6,1312
1400,NH,7,915
1401,NH,8,643
1402,NH,9,1111
1403,NH,10,2374
1404,NH,11,8205
1405,NH,12,24396
1406,NH,13,20321
1407,NH,14,10695
1408,NH,15,9918
1409,NH,16,10229
1410,NH,17,4065
1411,NH,18,1035
1412,NH,19,960
1413,NH,20,5418
1414,NH,21,13837
1415,NH,22,12721
1416,NH,23,23270
1417,NH,24,40945
1418,NH,25,71144
1419,NH,26,27901
1420,NH,27,6682
1421,NH,28,6810
1422,NH,29,14133
1423,NH,30,8557
1424,NH,31,5951
1425,NH,32,6552
1426,NH,33,5465
1427,NH,34,6497
1428,NH,35,5027
1429,NH,36,5582
1430,NH,37,5826
1431,NH,38,3730
1432,NH,39,3485
1433,NH,40,1443
1434,NH,41,572
1435,NJ,1,0
1436,NJ,2,0
1437,NJ,3,4402
1438,NJ,4,111963
1439,NJ,5,40544
1440,NJ,6,13159
1441,NJ,7,12729
1442,NJ,8,10855
1443,NJ,9,17011
1444,NJ,10,33332
1445,NJ,11,101403
1446,NJ,12,177897
1447,NJ,13,153242
1448,NJ,14,98849
1449,NJ,15,133430
1450,NJ,16,84307
1451,NJ,17,21848
1452,NJ,18,8446
1453,NJ,19,12558
1454,NJ,20,43925
1455,NJ,21,72343
1456,NJ,22,40958
1457,NJ,23,45158
1458,NJ,24,256995
1459,NJ,25,590031
1460,NJ,26,75806
1461,NJ,27,37148
1462,NJ,28,53705
1463,NJ,29,118464
1464,NJ,30,114332
1465,NJ,31,97654
1466,NJ,32,94438
1467,NJ,33,58800
1468,NJ,34,51495
1469,NJ,35,61382
1470,NJ,36,71115
1471,NJ,37,71388
1472,NJ,38,45119
1473,NJ,39,24554
1474,NJ,40,11224
1475,NJ,41,3262
1476,NM,1,0
1477,NM,2,0
1478,NM,3,113
1479,NM,4,3100
1480,NM,5,4038
1481,NM,6,3739
1482,NM,7,9146
1483,NM,8,4594
1484,NM,9,4704
1485,NM,10,14393
1486,NM,11,44275
1487,NM,12,53084
1488,NM,13,29861
1489,NM,14,12732
1490,NM,15,7870
1491,NM,16,5564
1492,NM,17,5357
1493,NM,18,2974
1494,NM,19,4140
1495,NM,20,17952
1496,NM,21,24381
1497,NM,22,20838
1498,NM,23,35236
1499,NM,24,39740
1500,NM,25,112231
1501,NM,26,49642
1502,NM,27,8039
1503,NM,28,4071
1504,NM,29,10426
1505,NM,30,30551
1506,NM,31,26014
1507,NM,32,22500
1508,NM,33,6820
1509,NM,34,8043
1510,NM,35,20398
1511,NM,36,11798
1512,NM,37,5660
1513,NM,38,4264
1514,NM,39,6387
1515,NM,40,4808
1516,NM,41,1759
1517,NV,1,0
1518,NV,2,0
1519,NV,3,323
1520,NV,4,4611
1521,NV,5,3215
1522,NV,6,6211
1523,NV,7,31447
1524,NV,8,20860
1525,NV,9,13313
1526,NV,10,17499
1527,NV,11,44760
1528,NV,12,80356
1529,NV,13,51278
1530,NV,14,18186
1531,NV,15,11703
1532,NV,16,10713
1533,NV,17,8774
1534,NV,18,10463
1535,NV,19,20031
1536,NV,20,30373
1537,NV,21,35999
1538,NV,22,17337
1539,NV,23,17274
1540,NV,24,26604
1541,NV,25,155371
1542,NV,26,36811
1543,NV,27,33242
1544,NV,28,5526
1545,NV,29,16169
1546,NV,30,38250
1547,NV,31,52342
1548,NV,32,14919
1549,NV,33,13372
1550,NV,34,5626
1551,NV,35,11448
1552,NV,36,11709
1553,NV,37,6794
1554,NV,38,4891
1555,NV,39,5689
1556,NV,40,3429
1557,NV,41,1246
1558,NY,1,0
1559,NY,2,0
1560,NY,3,12985
1561,NY,4,121865
1562,NY,5,30147
1563,NY,6,11321
1564,NY,7,12724
1565,NY,8,9473
1566,NY,9,16093
1567,NY,10,25522
1568,NY,11,72945
1569,NY,12,224297
1570,NY,13,247347
1571,NY,14,118834
1572,NY,15,122793
1573,NY,16,88256
1574,NY,17,34201
1575,NY,18,8766
1576,NY,19,11439
1577,NY,20,56093
1578,NY,21,112465
1579,NY,22,87707
1580,NY,23,115753
1581,NY,24,320152
1582,NY,25,656757
1583,NY,26,106772
1584,NY,27,44487
1585,NY,28,93745
1586,NY,29,148866
1587,NY,30,88317
1588,NY,31,77568
1589,NY,32,86157
1590,NY,33,65722
1591,NY,34,62948
1592,NY,35,63324
1593,NY,36,72439
1594,NY,37,60507
1595,NY,38,40679
1596,NY,39,27481
1597,NY,40,11410
1598,NY,41,3686
1599,NYC,1,0
1600,NYC,2,0
1601,NYC,3,17856
1602,NYC,4,151226
1603,NYC,5,34203
1604,NYC,6,12281
1605,NYC,7,12049
1606,NYC,8,7465
1607,NYC,9,11849
1608,NYC,10,17630
1609,NYC,11,43002
1610,NYC,12,118457
1611,NYC,13,158335
1612,NYC,14,123125
1613,NYC,15,139314
1614,NYC,16,79054
1615,NYC,17,23449
1616,NYC,18,8122
1617,NYC,19,15707
1618,NYC,20,50566
1619,NYC,21,60499
1620,NYC,22,34969
1621,NYC,23,31958
1622,NYC,24,318109
1623,NYC,25,757376
1624,NYC,26,60387
1625,NYC,27,31269
1626,NYC,28,58053
1627,NYC,29,106492
1628,NYC,30,115559
1629,NYC,31,116816
1630,NYC,32,102561
1631,NYC,33,55259
1632,NYC,34,55442
1633,NYC,35,87226
1634,NYC,36,102114
1635,NYC,37,78994
1636,NYC,38,38382
1637,NYC,39,19742
1638,NYC,40,7649
1639,NYC,41,4180
1640,OH,1,0
1641,OH,2,0
1642,OH,3,705
1643,OH,4,16598
1644,OH,5,16139
1645,OH,6,13318
1646,OH,7,41133
1647,OH,8,29693
1648,OH,9,36402
1649,OH,10,51359
1650,OH,11,177396
1651,OH,12,308005
1652,OH,13,187536
1653,OH,14,81723
1654,OH,15,57558
1655,OH,16,51420
1656,OH,17,30595
1657,OH,18,11745
1658,OH,19,14096
1659,OH,20,67057
1660,OH,21,214964
1661,OH,22,124373
1662,OH,23,128316
1663,OH,24,315592
1664,OH,25,565141
1665,OH,26,107514
1666,OH,27,21316
1667,OH,28,18632
1668,OH,29,55251
1669,OH,30,87651
1670,OH,31,87138
1671,OH,32,131180
1672,OH,33,82099
1673,OH,34,41730
1674,OH,35,54384
1675,OH,36,66762
1676,OH,37,45091
1677,OH,38,34247
1678,OH,39,41395
1679,OH,40,20105
1680,OH,41,6099
1681,OK,1,0
1682,OK,2,0
1683,OK,3,164
1684,OK,4,3310
1685,OK,5,2753
1686,OK,6,5287
1687,OK,7,23113
1688,OK,8,20212
1689,OK,9,32360
1690,OK,10,31953
1691,OK,11,65190
1692,OK,12,102952
1693,OK,13,92495
1694,OK,14,42250
1695,OK,15,17698
1696,OK,16,7897
1697,OK,17,4859
1698,OK,18,5357
1699,OK,19,19202
1700,OK,20,57870
1701,OK,21,76963
1702,OK,22,30477
1703,OK,23,19858
1704,OK,24,38578
1705,OK,25,230235
1706,OK,26,85906
1707,OK,27,14429
1708,OK,28,6828
1709,OK,29,7369
1710,OK,30,20149
1711,OK,31,38342
1712,OK,32,55216
1713,OK,33,32879
1714,OK,34,13055
1715,OK,35,15182
1716,OK,36,23618
1717,OK,37,21689
1718,OK,38,15856
1719,OK,39,12241
1720,OK,40,10362
1721,OK,41,2196
1722,OR,1,0
1723,OR,2,0
1724,OR,3,266
1725,OR,4,2180
1726,OR,5,1590
1727,OR,6,3408
1728,OR,7,10274
1729,OR,8,7848
1730,OR,9,7942
1731,OR,10,9720
1732,OR,11,25275
1733,OR,12,43757
1734,OR,13,27803
1735,OR,14,13995
1736,OR,15,10954
1737,OR,16,17904
1738,OR,17,16868
1739,OR,18,8857
1740,OR,19,9048
1741,OR,20,45475
1742,OR,21,65020
1743,OR,22,34376
1744,OR,23,24925
1745,OR,24,30848
1746,OR,25,187030
1747,OR,26,85117
1748,OR,27,13359
1749,OR,28,14791
1750,OR,29,38579
1751,OR,30,52617
1752,OR,31,38219
1753,OR,32,30104
1754,OR,33,16627
1755,OR,34,13405
1756,OR,35,16451
1757,OR,36,14671
1758,OR,37,9598
1759,OR,38,10492
1760,OR,39,9396
1761,OR,40,5078
1762,OR,41,1989
1763,PA,1,0
1764,PA,2,0
1765,PA,3,1257
1766,PA,4,45098
1767,PA,5,26612
1768,PA,6,14025
1769,PA,7,27206
1770,PA,8,20654
1771,PA,9,29048
1772,PA,10,41962
1773,PA,11,129539
1774,PA,12,304738
1775,PA,13,186677
1776,PA,14,101752
1777,PA,15,106716
1778,PA,16,119654
1779,PA,17,56844
1780,PA,18,14512
1781,PA,19,10915
1782,PA,20,55025
1783,PA,21,147161
1784,PA,22,125798
1785,PA,23,140541
1786,PA,24,289361
1787,PA,25,611809
1788,PA,26,142458
1789,PA,27,30874
1790,PA,28,32587
1791,PA,29,95430
1792,PA,30,93129
1793,PA,31,81904
1794,PA,32,102630
1795,PA,33,68432
1796,PA,34,50590
1797,PA,35,55859
1798,PA,36,55345
1799,PA,37,52934
1800,PA,38,43061
1801,PA,39,31786
1802,PA,40,12105
1803,PA,41,3303
1804,PR,1,0
1805,PR,2,0
1806,PR,3,51
1807,PR,4,846
1808,PR,5,348
1809,PR,6,331
1810,PR,7,4124
1811,PR,8,8308
1812,PR,9,9993
1813,PR,10,8527
1814,PR,11,16197
1815,PR,12,27566
1816,PR,13,16250
1817,PR,14,7079
1818,PR,15,7851
1819,PR,16,23200
1820,PR,17,7543
1821,PR,18,1841
1822,PR,19,4907
1823,PR,20,22110
1824,PR,21,14115
1825,PR,22,3691
1826,PR,23,3137
1827,PR,24,55602
1828,PR,25,205355
1829,PR,26,23568
1830,PR,27,7975
1831,PR,28,42345
1832,PR,29,124281
1833,PR,30,121597
1834,PR,31,72462
1835,PR,32,82847
1836,PR,33,28766
1837,PR,34,24344
1838,PR,35,33970
1839,PR,36,38311
1840,PR,37,29223
1841,PR,38,17250
1842,PR,39,11817
1843,PR,40,7996
1844,PR,41,6352
1845,PW,1,0
1846,PW,2,0
1847,PW,3,0
1848,PW,4,0
1849,PW,5,0
1850,PW,6,0
1851,PW,7,0
1852,PW,8,0
1853,PW,9,0
1854,PW,10,0
1855,PW,11,0
1856,PW,12,0
1857,PW,13,0
1858,PW,14,0
1859,PW,15,0
1860,PW,16,0
1861,PW,17,0
1862,PW,18,2
1863,PW,19,0
1864,PW,20,2
1865,PW,21,3
1866,PW,22,3
1867,PW,23,0
1868,PW,24,2
1869,PW,25,889
1870,PW,26,2795
1871,PW,27,328
1872,PW,28,462
1873,PW,29,534
1874,PW,30,187
1875,PW,31,13
1876,PW,32,128
1877,PW,33,112
1878,PW,34,49
1879,PW,35,276
1880,PW,36,183
1881,PW,37,18
1882,PW,38,2
1883,PW,39,9
1884,PW,40,2
1885,PW,41,1
1886,RI,1,0
1887,RI,2,0
1888,RI,3,176
1889,RI,4,8273
1890,RI,5,5526
1891,RI,6,2015
1892,RI,7,2242
1893,RI,8,2574
1894,RI,9,3163
1895,RI,10,7106
1896,RI,11,20626
1897,RI,12,34489
1898,RI,13,22890
1899,RI,14,10515
1900,RI,15,12074
1901,RI,16,9363
1902,RI,17,3456
1903,RI,18,775
1904,RI,19,1522
1905,RI,20,6721
1906,RI,21,10917
1907,RI,22,6628
1908,RI,23,10017
1909,RI,24,39732
1910,RI,25,102994
1911,RI,26,14279
1912,RI,27,5976
1913,RI,28,9389
1914,RI,29,18912
1915,RI,30,11484
1916,RI,31,7192
1917,RI,32,8681
1918,RI,33,6768
1919,RI,34,5989
1920,RI,35,6058
1921,RI,36,7687
1922,RI,37,7613
1923,RI,38,3938
1924,RI,39,2329
1925,RI,40,1015
1926,RI,41,362
1927,RMI,1,0
1928,RMI,2,0
1929,RMI,3,0
1930,RMI,4,0
1931,RMI,5,0
1932,RMI,6,0
1933,RMI,7,0
1934,RMI,8,0
1935,RMI,9,0
1936,RMI,10,1
1937,RMI,11,3
1938,RMI,12,0
1939,RMI,13,0
1940,RMI,14,0
1941,RMI,15,0
1942,RMI,16,0
1943,RMI,17,0
1944,RMI,18,0
1945,RMI,19,0
1946,RMI,20,0
1947,RMI,21,0
1948,RMI,22,0
1949,RMI,23,0
1950,RMI,24,0
1951,RMI,25,0
1952,RMI,26,0
1953,RMI,27,0
1954,RMI,28,13
1955,RMI,29,0
1956,RMI,30,1
1957,RMI,31,41
1958,RMI,32,14983
1959,RMI,33,263
1960,RMI,34,70
1961,RMI,35,166
1962,RMI,36,3
1963,RMI,37,0
1964,RMI,38,74
1965,RMI,39,105
1966,RMI,40,358
1967,RMI,41,0
1968,SC,1,0
1969,SC,2,0
1970,SC,3,426
1971,SC,4,5457
1972,SC,5,4741
1973,SC,6,17274
1974,SC,7,57949
1975,SC,8,28247
1976,SC,9,33863
1977,SC,10,25524
1978,SC,11,37424
1979,SC,12,92570
1980,SC,13,123756
1981,SC,14,81813
1982,SC,15,42587
1983,SC,16,25009
1984,SC,17,15194
1985,SC,18,4979
1986,SC,19,16220
1987,SC,20,89861
1988,SC,21,151981
1989,SC,22,40049
1990,SC,23,20042
1991,SC,24,45229
1992,SC,25,368255
1993,SC,26,128548
1994,SC,27,11136
1995,SC,28,6140
1996,SC,29,21488
1997,SC,30,50644
1998,SC,31,58759
1999,SC,32,69116
2000,SC,33,33793
2001,SC,34,13619
2002,SC,35,16686
2003,SC,36,31680
2004,SC,37,36960
2005,SC,38,20601
2006,SC,39,14899
2007,SC,40,6871
2008,SC,41,2629
2009,SD,1,0
2010,SD,2,0
2011,SD,3,41
2012,SD,4,2333
2013,SD,5,2332
2014,SD,6,1713
2015,SD,7,2215
2016,SD,8,2937
2017,SD,9,10818
2018,SD,10,19611
2019,SD,11,34142
2020,SD,12,22579
2021,SD,13,8890
2022,SD,14,4196
2023,SD,15,5949
2024,SD,16,4641
2025,SD,17,1666
2026,SD,18,483
2027,SD,19,678
2028,SD,20,4641
2029,SD,21,14683
2030,SD,22,9227
2031,SD,23,10516
2032,SD,24,14103
2033,SD,25,44487
2034,SD,26,12636
2035,SD,27,1587
2036,SD,28,708
2037,SD,29,1891
2038,SD,30,4820
2039,SD,31,5763
2040,SD,32,7261
2041,SD,33,3824
2042,SD,34,2816
2043,SD,35,4610
2044,SD,36,3059
2045,SD,37,2073
2046,SD,38,3720
2047,SD,39,3359
2048,SD,40,1393
2049,SD,41,494
2050,TN,1,0
2051,TN,2,0
2052,TN,3,869
2053,TN,4,9936
2054,TN,5,10580
2055,TN,6,15938
2056,TN,7,61923
2057,TN,8,46420
2058,TN,9,48798
2059,TN,10,58044
2060,TN,11,91905
2061,TN,12,231923
2062,TN,13,133697
2063,TN,14,53519
2064,TN,15,42707
2065,TN,16,33393
2066,TN,17,18050
2067,TN,18,7879
2068,TN,19,24694
2069,TN,20,122194
2070,TN,21,213785
2071,TN,22,50615
2072,TN,23,32596
2073,TN,24,100652
2074,TN,25,412992
2075,TN,26,175800
2076,TN,27,19012
2077,TN,28,9676
2078,TN,29,27653
2079,TN,30,67605
2080,TN,31,74935
2081,TN,32,104123
2082,TN,33,36612
2083,TN,34,22855
2084,TN,35,33841
2085,TN,36,39273
2086,TN,37,38910
2087,TN,38,34154
2088,TN,39,20715
2089,TN,40,10079
2090,TN,41,3811
2091,TX,1,0
2092,TX,2,0
2093,TX,3,1102
2094,TX,4,21023
2095,TX,5,27176
2096,TX,6,77085
2097,TX,7,275414
2098,TX,8,229346
2099,TX,9,153805
2100,TX,10,128035
2101,TX,11,259457
2102,TX,12,559123
2103,TX,13,553186
2104,TX,14,268522
2105,TX,15,154605
2106,TX,16,92639
2107,TX,17,67855
2108,TX,18,58188
2109,TX,19,209597
2110,TX,20,397050
2111,TX,21,501487
2112,TX,22,153891
2113,TX,23,93196
2114,TX,24,258583
2115,TX,25,1583037
2116,TX,26,478698
2117,TX,27,135485
2118,TX,28,68313
2119,TX,29,94792
2120,TX,30,255903
2121,TX,31,324448
2122,TX,32,323184
2123,TX,33,135126
2124,TX,34,51547
2125,TX,35,72164
2126,TX,36,124021
2127,TX,37,122298
2128,TX,38,74507
2129,TX,39,72999
2130,TX,40,39113
2131,TX,41,12204
2132,UT,1,0
2133,UT,2,0
2134,UT,3,324
2135,UT,4,4154
2136,UT,5,4212
2137,UT,6,10138
2138,UT,7,20446
2139,UT,8,10971
2140,UT,9,23205
2141,UT,10,36090
2142,UT,11,75662
2143,UT,12,88706
2144,UT,13,66722
2145,UT,14,27937
2146,UT,15,17053
2147,UT,16,10892
2148,UT,17,8559
2149,UT,18,10060
2150,UT,19,15008
2151,UT,20,26955
2152,UT,21,49701
2153,UT,22,39394
2154,UT,23,43542
2155,UT,24,43691
2156,UT,25,228454
2157,UT,26,59077
2158,UT,27,7226
2159,UT,28,4278
2160,UT,29,15524
2161,UT,30,33552
2162,UT,31,27643
2163,UT,32,20020
2164,UT,33,8947
2165,UT,34,6969
2166,UT,35,16598
2167,UT,36,12649
2168,UT,37,6816
2169,UT,38,5670
2170,UT,39,6617
2171,UT,40,2956
2172,UT,41,1057
2173,VA,1,0
2174,VA,2,0
2175,VA,3,395
2176,VA,4,14566
2177,VA,5,25285
2178,VA,6,19258
2179,VA,7,28486
2180,VA,8,27469
2181,VA,9,32811
2182,VA,10,28487
2183,VA,11,49530
2184,VA,12,118057
2185,VA,13,144193
2186,VA,14,80209
2187,VA,15,50046
2188,VA,16,38087
2189,VA,17,16431
2190,VA,18,6600
2191,VA,19,12205
2192,VA,20,55526
2193,VA,21,116027
2194,VA,22,57686
2195,VA,23,39354
2196,VA,24,126697
2197,VA,25,415266
2198,VA,26,126564
2199,VA,27,35467
2200,VA,28,32167
2201,VA,29,72902
2202,VA,30,94756
2203,VA,31,80938
2204,VA,32,93421
2205,VA,33,44215
2206,VA,34,30181
2207,VA,35,36208
2208,VA,36,49812
2209,VA,37,50859
2210,VA,38,30859
2211,VA,39,18345
2212,VA,40,8079
2213,VA,41,3402
2214,VI,1,0
2215,VI,2,0
2216,VI,3,17
2217,VI,4,40
2218,VI,5,12
2219,VI,6,7
2220,VI,7,309
2221,VI,8,645
2222,VI,9,288
2223,VI,10,35
2224,VI,11,168
2225,VI,12,510
2226,VI,13,342
2227,VI,14,250
2228,VI,15,284
2229,VI,16,191
2230,VI,17,301
2231,VI,18,480
2232,VI,19,618
2233,VI,20,1210
2234,VI,21,1014
2235,VI,22,451
2236,VI,23,318
2237,VI,24,1235
2238,VI,25,5964
2239,VI,26,638
2240,VI,27,309
2241,VI,28,624
2242,VI,29,2992
2243,VI,30,1647
2244,VI,31,778
2245,VI,32,1034
2246,VI,33,443
2247,VI,34,157
2248,VI,35,209
2249,VI,36,244
2250,VI,37,661
2251,VI,38,316
2252,VI,39,122
2253,VI,40,56
2254,VI,41,75
2255,VT,1,0
2256,VT,2,0
2257,VT,3,52
2258,VT,4,800
2259,VT,5,105
2260,VT,6,202
2261,VT,7,243
2262,VT,8,155
2263,VT,9,190
2264,VT,10,342
2265,VT,11,1640
2266,VT,12,3345
2267,VT,13,4048
2268,VT,14,3383
2269,VT,15,4367
2270,VT,16,3724
2271,VT,17,1515
2272,VT,18,290
2273,VT,19,333
2274,VT,20,2325
2275,VT,21,5964
2276,VT,22,5797
2277,VT,23,8577
2278,VT,24,14112
2279,VT,25,37504
2280,VT,26,11974
2281,VT,27,4963
2282,VT,28,6092
2283,VT,29,8895
2284,VT,30,4532
2285,VT,31,2091
2286,VT,32,2534
2287,VT,33,2072
2288,VT,34,2519
2289,VT,35,1922
2290,VT,36,1676
2291,VT,37,1707
2292,VT,38,1966
2293,VT,39,1465
2294,VT,40,618
2295,VT,41,204
2296,WA,1,1
2297,WA,2,0
2298,WA,3,2865
2299,WA,4,11483
2300,WA,5,6402
2301,WA,6,9514
2302,WA,7,25340
2303,WA,8,17419
2304,WA,9,16225
2305,WA,10,18339
2306,WA,11,51955
2307,WA,12,85261
2308,WA,13,60899
2309,WA,14,30874
2310,WA,15,27893
2311,WA,16,35387
2312,WA,17,32499
2313,WA,18,18907
2314,WA,19,20561
2315,WA,20,73982
2316,WA,21,112263
2317,WA,22,64276
2318,WA,23,46600
2319,WA,24,79816
2320,WA,25,396844
2321,WA,26,166325
2322,WA,27,43103
2323,WA,28,39722
2324,WA,29,73890
2325,WA,30,93322
2326,WA,31,69710
2327,WA,32,53402
2328,WA,33,29121
2329,WA,34,20951
2330,WA,35,25245
2331,WA,36,23730
2332,WA,37,20304
2333,WA,38,20582
2334,WA,39,19014
2335,WA,40,10355
2336,WA,41,3378
2337,WI,1,0
2338,WI,2,0
2339,WI,3,621
2340,WI,4,5899
2341,WI,5,9944
2342,WI,6,9299
2343,WI,7,25288
2344,WI,8,21211
2345,WI,9,50013
2346,WI,10,99285
2347,WI,11,170882
2348,WI,12,123784
2349,WI,13,69377
2350,WI,14,28657
2351,WI,15,21781
2352,WI,16,22658
2353,WI,17,14607
2354,WI,18,4306
2355,WI,19,7406
2356,WI,20,37435
2357,WI,21,85002
2358,WI,22,69765
2359,WI,23,86009
2360,WI,24,140525
2361,WI,25,382300
2362,WI,26,82746
2363,WI,27,15930
2364,WI,28,22472
2365,WI,29,57165
2366,WI,30,60410
2367,WI,31,48315
2368,WI,32,59300
2369,WI,33,32019
2370,WI,34,28644
2371,WI,35,33382
2372,WI,36,31853
2373,WI,37,21623
2374,WI,38,17427
2375,WI,39,20264
2376,WI,40,10043
2377,WI,41,3070
2378,WV,1,0
2379,WV,2,0
2380,WV,3,39
2381,WV,4,1071
2382,WV,5,778
2383,WV,6,743
2384,WV,7,3647
2385,WV,8,3260
2386,WV,9,6312
2387,WV,10,7217
2388,WV,11,19985
2389,WV,12,41173
2390,WV,13,33546
2391,WV,14,12622
2392,WV,15,11345
2393,WV,16,10562
2394,WV,17,8483
2395,WV,18,3260
2396,WV,19,2451
2397,WV,20,15412
2398,WV,21,56592
2399,WV,22,30633
2400,WV,23,21778
2401,WV,24,34605
2402,WV,25,103502
2403,WV,26,57226
2404,WV,27,11428
2405,WV,28,3026
2406,WV,29,11876
2407,WV,30,19272
2408,WV,31,21175
2409,WV,32,29647
2410,WV,33,17104
2411,WV,34,7024
2412,WV,35,7852
2413,WV,36,8895
2414,WV,37,9415
2415,WV,38,7194
2416,WV,39,6714
2417,WV,40,3235
2418,WV,41,457
2419,WY,1,0
2420,WY,2,0
2421,WY,3,54
2422,WY,4,486
2423,WY,5,308
2424,WY,6,416
2425,WY,7,1346
2426,WY,8,1042
2427,WY,9,2338
2428,WY,10,6280
2429,WY,11,18633
2430,WY,12,12986
2431,WY,13,6992
2432,WY,14,3014
2433,WY,15,2215
2434,WY,16,1738
2435,WY,17,1898
2436,WY,18,2324
2437,WY,19,2487
2438,WY,20,8010
2439,WY,21,17448
2440,WY,22,11837
2441,WY,23,8195
2442,WY,24,5168
2443,WY,25,27840
2444,WY,26,12092
2445,WY,27,1454
2446,WY,28,582
2447,WY,29,1743
2448,WY,30,5532
2449,WY,31,5641
2450,WY,32,4605
2451,WY,33,1918
2452,WY,34,1715
2453,WY,35,2687
2454,WY,36,1738
2455,WY,37,919
2456,WY,38,1068
2457,WY,39,1246
2458,WY,40,544
2459,WY,41,495
